#,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
433,2023072005003483,NIFRA,45,52,86,225.00,"19,350.00"
434,2023072005003482,NIFRA,40,39,63,225.10,"14,181.30"
435,2023072005003481,NRN,33,56,16,513.00,"8,208.00"
436,2023072005003480,NIFRA,45,51,14,225.00,"3,150.00"
437,2023072005003479,NIFRA,48,51,186,225.00,"41,850.00"
438,2023072005003478,ENL,14,19,30,718.90,"21,567.00"
439,2023072005003477,NRN,33,32,50,513.00,"25,650.00"
440,2023072005003476,NIFRA,48,45,14,225.00,"3,150.00"
441,2023072005003475,NIFRA,34,45,20,225.00,"4,500.00"
442,2023072005003474,NIFRA,49,45,10,225.00,"2,250.00"
443,2023072005003473,NTC,32,41,10,912.80,"9,128.00"
444,2023072005003472,ENL,38,20,89,720.00,"64,080.00"
445,2023072005003471,ENL,38,36,120,720.00,"86,400.00"
446,2023072005003470,ENL,38,54,139,720.00,"100,080.00"
447,2023072005003469,ENL,38,58,10,720.00,"7,200.00"
448,2023072005003468,ENL,38,25,10,720.00,"7,200.00"
449,2023072005003467,ENL,38,7,16,720.00,"11,520.00"
450,2023072005003466,ENL,38,25,16,719.10,"11,505.60"
451,2023072005003465,NIFRA,1,39,20,225.10,"4,502.00"
452,2023072005003464,NIFRA,21,39,20,225.10,"4,502.00"
453,2023072005003463,NIFRA,55,39,197,225.10,"44,344.70"
454,2023072005003462,NTC,35,42,"4,800",910.60,"4,370,880.00"
455,2023072005003461,NTC,57,42,100,910.70,"91,070.00"
456,2023072005003460,NTC,6,42,100,910.90,"91,090.00"
457,2023072005003459,CHDC,34,14,50,970.00,"48,500.00"
458,2023072005003458,KEF,16,47,500,9.13,"4,565.00"
459,2023072005003457,NIFRA,22,45,22,225.20,"4,954.40"
460,2023072005003456,NRIC,58,57,30,740.10,"22,203.00"
461,2023072005003455,NTC,6,42,900,910.90,"819,810.00"
462,2023072005003454,NTC,57,42,500,911.00,"455,500.00"
463,2023072005003453,NTC,54,42,10,911.00,"9,110.00"
464,2023072005003452,NTC,33,42,"1,470",911.00,"1,339,170.00"
465,2023072005003451,NTC,36,42,50,911.10,"45,555.00"
466,2023072005003450,NTC,1,42,470,911.20,"428,264.00"
467,2023072005003449,ENL,38,25,34,719.10,"24,449.40"
468,2023072005003448,ENL,38,58,10,718.00,"7,180.00"
469,2023072005003447,ENL,38,35,10,718.00,"7,180.00"
470,2023072005003446,ENL,38,19,10,718.00,"7,180.00"
471,2023072005003445,ENL,38,10,90,717.90,"64,611.00"
472,2023072005003444,ENL,38,43,130,717.80,"93,314.00"
473,2023072005003443,ENL,38,38,86,717.00,"61,662.00"
474,2023072005003442,ENL,38,38,10,716.00,"7,160.00"
475,2023072005003441,ENL,38,58,10,715.50,"7,155.00"
476,2023072005003440,ENL,38,17,10,715.40,"7,154.00"
477,2023072005003439,HIDCL,32,51,12,184.10,"2,209.20"
478,2023072005003438,NTC,28,14,100,912.00,"91,200.00"
479,2023072005003437,NIFRA,55,45,20,225.20,"4,504.00"
480,2023072005003436,NIFRA,56,45,53,225.20,"11,935.60"
